"C.A.T"	"C.A"	"Season"	"Condition"	"A.expo"	"Sample"	"mmet"	"microlitres.standar"	"miligrams"	"microlitres"	"inyection.microlitres"	"microlitres.standar.1"	"Area.standar.porc"	"We.needle.grams"	"microlitres.metabolites"	"metabolite"	"measurement"	"standar.add"	"target.mg"	"X3"	"miligrams.in.grneedle"	"miligrams.in.hundredgr"
"tolerant-2016-MC"	"tolerant-2016"	"MC"	"tolerant"	2016	"MCH5-16"	13	56.81	10	1000	2	10	56.81	1.017	490	"beta.Caryophyllene.oxide"	5.02	0.0011362	0.0001004	0.024598	2.41868239921337	2418.68239921337
"damaged-2015-MC"	"damaged-2015"	"MC"	"damaged"	2015	"MCD1-15"	14	70.26	10	1000	2	10	70.26	1.069	490	"beta.Caryophyllene.oxide"	4.95	0.0014052	9.9e-05	0.024255	2.2689429373246	2268.9429373246
"damaged-2015-MC"	"damaged-2015"	"MC"	"damaged"	2015	"MCD2-15"	15	124.58	10	1000	2	10	124.58	1.085	490	"beta.Caryophyllene.oxide"	2.06	0.0024916	4.12e-05	0.010094	0.930322580645161	930.322580645161
"damaged-2015-MC"	"damaged-2015"	"MC"	"damaged"	2015	"MCD3-15"	16	67.68	10	1000	2	10	67.68	1.07	490	"beta.Caryophyllene.oxide"	5.15	0.0013536	0.000103	0.025235	2.35841121495327	2358.41121495327
"damaged-2015-MC"	"damaged-2015"	"MC"	"damaged"	2015	"MCD4-15"	17	77.92	10	1000	2	10	77.92	1.026	490	"beta.Caryophyllene.oxide"	5.83	0.0015584	0.0001166	0.028567	2.78430799220273	2784.30799220273
"damaged-2015-MC"	"damaged-2015"	"MC"	"damaged"	2015	"MCD5-15"	46	25.66	1	1000	2	50	25.66	0.88	450	"beta.Caryophyllene.oxide"	9.36	5.132e-05	1.872e-05	0.004212	0.478636363636364	478.636363636364
"damaged-2016-MC"	"damaged-2016"	"MC"	"damaged"	2016	"MCD1-16"	18	20.99	1	1000	2	50	20.99	1.017	450	"beta.Caryophyllene.oxide"	0	4.198e-05	0	0	0	0
"damaged-2016-MC"	"damaged-2016"	"MC"	"damaged"	2016	"MCD2-16"	19	28.36	1	1000	2	50	28.36	1.02	450	"beta.Caryophyllene.oxide"	5.36	5.672e-05	1.072e-05	0.002412	0.236470588235294	236.470588235294
"damaged-2016-MC"	"damaged-2016"	"MC"	"damaged"	2016	"MCD3-16"	20	23.68	1	1000	2	50	23.68	1.081	450	"beta.Caryophyllene.oxide"	11.94	4.736e-05	2.388e-05	0.005373	0.497039777983349	497.039777983349
"damaged-2016-MC"	"damaged-2016"	"MC"	"damaged"	2016	"MCD4-16"	21	30.78	1	1000	2	50	30.78	1.061	450	"beta.Caryophyllene.oxide"	16.78	6.156e-05	3.356e-05	0.007551	0.711687087653158	711.687087653158
"damaged-2016-MC"	"damaged-2016"	"MC"	"damaged"	2016	"MCD5-16"	22	27.42	1	1000	2	50	27.42	1.058	450	"beta.Caryophyllene.oxide"	9.42	5.484e-05	1.884e-05	0.004239	0.400661625708885	400.661625708885
"tolerant-2015-Conti"	"tolerant-2015"	"Conti"	"tolerant"	2015	"ContiH1-15"	33	28.38	1	1000	2	50	28.38	0.865	450	"beta.Caryophyllene.oxide"	18.95	5.676e-05	3.79e-05	0.0085275	0.985838150289017	985.838150289017
"tolerant-2015-Conti"	"tolerant-2015"	"Conti"	"tolerant"	2015	"ContiH2-15"	34	54.42	1	1000	2	50	54.42	0.904	450	"beta.Caryophyllene.oxide"	17.09	0.00010884	3.418e-05	0.0076905	0.850719026548673	850.719026548673
"tolerant-2015-Conti"	"tolerant-2015"	"Conti"	"tolerant"	2015	"ContiH3-15"	35	25.79	1	1000	2	50	25.79	0.865	450	"beta.Caryophyllene.oxide"	11.03	5.158e-05	2.206e-05	0.0049635	0.573815028901734	573.815028901734
"tolerant-2015-Conti"	"tolerant-2015"	"Conti"	"tolerant"	2015	"ContiH4-15"	36	34.31	1	1000	2	50	34.31	0.861	450	"beta.Caryophyllene.oxide"	0	6.862e-05	0	0	0	0
"tolerant-2015-Conti"	"tolerant-2015"	"Conti"	"tolerant"	2015	"ContiH5-15"	45	21.13	1	1000	2	50	21.13	0.862	450	"beta.Caryophyllene.oxide"	9.39	4.226e-05	1.878e-05	0.0042255	0.490197215777262	490.197215777262
"tolerant-2016-Conti"	"tolerant-2016"	"Conti"	"tolerant"	2016	"ContiH1-16"	39	22.96	1	1000	2	50	22.96	0.85	450	"beta.Caryophyllene.oxide"	18.25	4.592e-05	3.65e-05	0.0082125	0.966176470588235	966.176470588235
"tolerant-2016-Conti"	"tolerant-2016"	"Conti"	"tolerant"	2016	"ContiH2-16"	40	33.69	1	1000	2	50	33.69	0.873	450	"beta.Caryophyllene.oxide"	15.81	6.738e-05	3.162e-05	0.0071145	0.814948453608247	814.948453608247
"tolerant-2016-Conti"	"tolerant-2016"	"Conti"	"tolerant"	2016	"ContiH3-16"	41	24.46	1	1000	2	50	24.46	0.875	450	"beta.Caryophyllene.oxide"	11.23	4.892e-05	2.246e-05	0.0050535	0.577542857142857	577.542857142857
"tolerant-2016-Conti"	"tolerant-2016"	"Conti"	"tolerant"	2016	"ContiH4-16"	42	28.35	1	1000	2	50	28.35	0.917	450	"beta.Caryophyllene.oxide"	11.69	5.67e-05	2.338e-05	0.0052605	0.573664122137404	573.664122137404
"tolerant-2016-Conti"	"tolerant-2016"	"Conti"	"tolerant"	2016	"ContiH5-16"	43	12.33	1	1000	2	50	12.33	0.862	450	"beta.Caryophyllene.oxide"	10.51	2.466e-05	2.102e-05	0.0047295	0.548665893271462	548.665893271462
"damaged-2015-Conti"	"damaged-2015"	"Conti"	"damaged"	2015	"ContiD1-15"	23	9.81	1	1000	2	50	9.81	0.897	450	"beta.Caryophyllene.oxide"	16.57	1.962e-05	3.314e-05	0.0074565	0.831270903010034	831.270903010034
"damaged-2015-Conti"	"damaged-2015"	"Conti"	"damaged"	2015	"ContiD2-15"	24	15.69	1	1000	2	50	15.69	0.91	450	"beta.Caryophyllene.oxide"	10.9	3.138e-05	2.18e-05	0.004905	0.539010989010989	539.010989010989
"damaged-2015-Conti"	"damaged-2015"	"Conti"	"damaged"	2015	"ContiD3-15"	44	27.02	1	1000	2	50	27.02	0.881	450	"beta.Caryophyllene.oxide"	9.98	5.404e-05	1.996e-05	0.004491	0.509761634506243	509.761634506243
"damaged-2015-Conti"	"damaged-2015"	"Conti"	"damaged"	2015	"ContiD4-15"	26	41.29	1	1000	2	50	41.29	0.901	450	"beta.Caryophyllene.oxide"	15.44	8.258e-05	3.088e-05	0.006948	0.771143174250832	771.143174250832
